"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",negative
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",negative
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",negative
23,"985, R-36330","DSM 19596, LMG 24244",1,"Acetobacter fabarum",negative
22,"430A, R-29337","DSM 18895, LMG 23848",1,"Acetobacter ghanensis",negative
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",negative
132413,Bo7,"DSM 23824, CECT 7722",1,"Acetobacter musti",negative
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,"Acetobacter nitrogenifigens",negative
19,B13,"DSM 23926, CECT 5830, LMG 21952",1,"Acetobacter oeni",negative
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",negative
17779,OS1,"DSM 22491, ATCC BAA 1850",1,"Acetomicrobium hydrogeniformans",negative
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",negative
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",negative
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",negative
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",negative
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",negative
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84",1,"Achromobacter insolitus",negative
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",negative
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",negative
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",negative
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",negative
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",negative
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",negative
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",negative
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",negative
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",negative
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",negative
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",negative
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",negative
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",negative
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",negative
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",negative
82,TPB606,"DSM 21000, VKM B-2487",1,"Acidisoma sibiricum",negative
81,WM1,"DSM 19999, VKM B-2488",1,"Acidisoma tundrae",negative
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",negative
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",negative
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",negative
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",negative
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",negative
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",negative
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",negative
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",negative
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",negative
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",negative
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",negative
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",negative
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",negative
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",negative
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",negative
130449,,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,"Acinetobacter boissieri",negative
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549",1,"Acinetobacter celticus",negative
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,"Acinetobacter colistiniresistens",negative
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,"Acinetobacter courvalinii",negative
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",negative
133175,JVAP01,"CECT 9134, LMG 29605",1,"Acinetobacter lactucae",negative
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,"Acinetobacter dispersus",negative
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",negative
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250",1,"Acinetobacter guillouiae",negative
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422",1,"Acinetobacter gyllenbergii",negative
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702",1,"Acinetobacter indicus",negative
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,"Acinetobacter kookii",negative
140631,,"CCUG 68785, NRRL B-41902",1,"Acinetobacter lactucae",negative
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",negative
163942,GC2,"JCM 31073, DSM 26953",0,"Acinetobacter lwoffii",negative
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,"Acinetobacter modestus",negative
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,"Acinetobacter nectaris",negative
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",negative
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530",1,"Acinetobacter pragensis",negative
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,"Acinetobacter proteolyticus",negative
164465,S23,"JCM 33150, KACC 19921",1,"Acinetobacter pullicarnis",negative
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709",1,"Acinetobacter puyangensis",negative
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",negative
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,"Acinetobacter soli",negative
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925",1,"Acinetobacter venetianus",negative
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,"Acinetobacter vivianii",negative
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,"Acinetobacter wuhouensis",negative
134305,JC2129,"KCTC 12704, JCM 14002",1,"Actibacter sediminis",negative
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",negative
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",negative
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,"Actinobacillus anseriformium",negative
166219,W1618,"LMG 30745, NCTC 14090",1,"Actinobacillus vicugnae",negative
132565,ACD12,"DSM 46745, CECT 8842, JCM 31696",1,"Actinomadura adrarensis",negative
140940,LDG1-22,"JCM 30485, TISTR 2343, PCU 344, DSM 111304",1,"Actinoplanes lichenis",negative
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,"Actinotalea ferrariae",negative
159835,J103,"DSM 104434, MCCC 1K03288",1,"Acuticoccus kandeliae",negative
166457,PTG4-2,"MCCC 1A01274, KCTC 52323",1,"Acuticoccus sediminis",negative
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",negative
133589,6424S-25,"KACC 14118, NBRC 106134",1,"Adhaeribacter aerophilus",negative
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,"Adhaeribacter aquaticus",negative
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,"Adhaeribacter swui",negative
140958,HY02,"KCTC 52512, JCM 31652",1,"Adhaeribacter terrae",negative
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,"Adhaeribacter terreus",negative
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",negative
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,"Advenella faeciporci",negative
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,"Advenella incenata",negative
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,"Advenella kashmirensis",negative
384,DPN7,"DSM 17166, LMG 22922",1,"Advenella mimigardefordensis",negative
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,"Aeoliella mucimassa",negative
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,"Aequoribacter fuscus",negative
133599,JC2436,"IMSNU 14137, KACC 13727, KCTC 22361, JCM 15496",1,"Aequorivita aestuarii",negative
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",negative
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,"Aequorivita capsosiphonis",negative
5477,9-3,"DSM 14238, ACAM 643, CIP 107454",1,"Aequorivita sublithincola",negative
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",negative
23547,266,"DSM 27583, CECT 8023, LMG 26707",1,"Aeromonas australiensis",negative
280,868E,"DSM 19111, CECT 7113, LMG 23376",1,"Aeromonas bivalvium",negative
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,"Aeromonas dhakensis",negative
258,S181,"DSM 11577, CECT 4342, LMG 16330",1,"Aeromonas encheleia",negative
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",negative
242,,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,"Aeromonas media",negative
262,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",negative
279,,"CCUG 39350, ATCC BAA 243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541",1,"Aeromonas popoffii",negative
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1,"Aeromonas rivuli",negative
273,138,"DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757",1,"Aeromonas salmonicida subsp. smithia",negative
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",negative
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,"Aeromonas simiae",negative
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",negative
4196,SY1,"DSM 16960, ATCC BAA 758, JCM 12091",1,"Aeropyrum camini",negative
4195,K1,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138",1,"Aeropyrum pernix",negative
159185,Dysh456,"DSM 105662, NBRC 112897",1,"Aerosticca soli",negative
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007",1,"Aestuariibacter halophilus",negative
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006",1,"Aestuariibacter salexigens",negative
133791,,"KACC 16186, JCM 17789, SC 17",1,"Aestuariibaculum suncheonense",negative
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",negative
158589,NAP41,"KACC 18431, JCM 30739",1,"Aestuariicoccus marinus",negative
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,"Aestuariimonas insulae",negative
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,"Aestuariivirga litoralis",negative
131429,SBSr002,"DSM 24601, NCCB 100377",1,"Aetherobacter fasciculatus",negative
130794,SBSr003,"DSM 24628, NCCB 100378",1,"Aetherobacter rufus",negative
13876,AR2102,"DSM 17143, ATCC BAA 1145",1,"Afifella pfennigii",negative
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",negative
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",negative
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus",negative
141009,feces2,"MCCC 1A11450, KCTC 52708",1,"Agaribacterium haliotis",negative
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",negative
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",negative
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",negative
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603",1,"Agarivorans albus",negative
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,"Agarivorans gilvus",negative
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",negative
11755,HK316,"DSM 21418, ATCC 33393, CCUG 10787, CCUG 12838, CIP 103292, KCTC 5968, NCTC 10977",1,"Aggregatibacter segnis",negative
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",negative
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",negative
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,"Agrobacterium skierniewicense",negative
159867,D13,"KACC 19270, JCM 31634",1,"Ahniella affigens",negative
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,"Ahrensia marina",negative
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",negative
132956,Pyt,"DSM 100705, CIP 110913",1,"Akkermansia glycaniphila",negative
14116,BZ42,"DSM 22554, CGMCC 1.10187, CIP 110134",1,"Albibacterium bauzanense",negative
13844,DS2,"DSM 17890, KCTC 12586",1,"Albimonas donghaensis",negative
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,"Albimonas pacifica",negative
158774,S1-47,"KACC 18804, JCM 31536",1,"Albirhodobacter confluentis",negative
134159,,"CCUG 50924, CIP 108999, LMG 22996",1,"Alcaligenes aquatilis",negative
133384,"AER 10, AER10","DSM 100498, KCTC 42688",1,"Alcaligenes endophyticus",negative
395,MACL04,"DSM 23776, CECT 5683, LMG 22508",1,"Alcanivorax balearicus",negative
394,B-5,"DSM 16502, CGMCC 1.3690",1,"Alcanivorax dieselolei",negative
133431,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC 1A01496",1,"Alcanivorax hongdengensis",negative
159770,SW127,"CGMCC 1.16233, KCTC 62652",1,"Alcanivorax indicus",negative
133994,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1,"Alcanivorax marinus",negative
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,"Alcanivorax mobilis",negative
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,"Alcanivorax nanhaiticus",negative
134021,KYW563,"KCTC 23857, JCM 18275",1,"Algibacter agarilyticus",negative
134020,KYW560,"KCTC 23855, JCM 18285",1,"Algibacter agarivorans",negative
140562,SK-16,"NBRC 110220, KCTC 32974",1,"Algibacter aquaticus",negative
133907,KYW589,"KCTC 23928, JCM 18287",1,"Algibacter aquimarinus",negative
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,"Algibacter lectus",negative
134276,,"KCTC 127105, LMG 23988, KMM 6171T",1,"Algibacter mikhailovii",negative
133987,WS-MY9,"KCTC 32259, CCUG 63684",1,"Algibacter undariae",negative
134060,WS-MY22,"KCTC 32381, CECT 8301",1,"Algibacter lectus",negative
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,"Algihabitans albus",negative
134052,14A-2-7,"LMG 26421, NBRC 108219",1,"Algimonas ampicilliniresistens",negative
133831,0C-2-2,"LMG 26424, NBRC 108216",1,"Algimonas porphyrae",negative
18152,DG1253,"DSM 24793, ATCC BAA 2243",1,"Algiphilus aromaticivorans",negative
132924,06SJR6-2,"DSM 103725, KCTC 32482, NBRC 109894",1,"Algisphaera agarilytica",negative
133393,S2-A1,"KACC 18987, JCM 31546",1,"Algoriphagus aestuariicola",negative
17695,R-10710,"DSM 15986, LMG 21980",1,"Algoriphagus antarcticus",negative
17711,T4,"DSM 19759, LMG 24398, NCIMB 14399",1,"Algoriphagus aquaeductus",negative
140706,KEM-10,"KCTC 52839, NBRC 112780",1,"Algoriphagus aquaemixtae",negative
133458,A8-7,"CGMCC 1.7030, NBRC 104237",1,"Algoriphagus aquatilis",negative
17704,,"DSM 23399, CCUG 47101, KMM 3958, LMG 21971, CIP 108555",1,"Algoriphagus aquimarinus",negative
17702,T22,"DSM 17298, ATCC BAA 1189, NBRC 101277, JCM 18970",1,"Algoriphagus boritolerans",negative
17705,,"CIP 108556, DSM 19830, CCUG 47095, KMM 3957, LMG 21970",1,"Algoriphagus chordae",negative
133817,,"KCTC 23759, CCUG 61890, CAU 1002",1,"Algoriphagus chungangensis",negative
140941,HJM-2,"KCTC 42704, NBRC 111222",1,"Algoriphagus confluentis",negative
17698,JC2051,"DSM 15292, IMSNU 14013, KCTC 12051",1,"Algoriphagus halophilus",negative
17712,7-UAH,"DSM 19315, CCM 7449, CECT 7267",1,"Algoriphagus hitonicola",negative
133329,S61,"DSM 102044, CCTCC AB 2015446",1,"Algoriphagus iocasae",negative
133687,,"KCTC 22647, JCM 16112, CNU 040",1,"Algoriphagus jejuensis",negative
133258,OITF-19,"KCTC 52456, NBRC 112418",1,"Algoriphagus litorisediminis",negative
17707,MSS-170,"DSM 23445, KCTC 12310, JCM 12597, CIP 108874",1,"Algoriphagus locisalis",negative
133541,S1-3,"KCTC 22630, CCUG 57608",1,"Algoriphagus lutimaris",negative
23439,PR1,"DSM 24695, ATCC BAA 2233",1,"Algoriphagus machipongonensis",negative
17700,JC2050,"DSM 15301, IMSNU 14012, KCTC 12050",1,"Algoriphagus mannitolivorans",negative
17696,SW2,"DSM 16067, KCTC 12180, JCM 12319",1,"Algoriphagus marincola",negative
140525,am2,"KCTC 52549, MCCC 1H00178",1,"Algoriphagus marinus",negative
141011,KEM-106,"KCTC 52979, NBRC 112904",1,"Algoriphagus marisflavi",negative
133701,DPG-3,"KCTC 23419, CCUG 60523",1,"Algoriphagus namhaensis",negative
133513,"CC-Hsuan-617, Hsuan-617","BCRC 17886, CCUG 57471, DSM 22140",1,"Algoriphagus olei",negative
17699,JC2052,"DSM 15282, IMSNU 14014, KCTC 12052",1,"Algoriphagus ornithinivorans",negative
133121,NH1,"MCCC 1H00140, KCTC 52228",1,"Algoriphagus resistens",negative
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,"Algoriphagus roseus",negative
164064,M8-2,"JCM 31446, LMG 29969",1,"Algoriphagus sanaruensis",negative
17708,DS-44,"DSM 22685, CIP 108837, KCTC 12545",1,"Algoriphagus terrigena",negative
17710,,"DSM 17529, KCTC 12716, KMM 6241",1,"Algoriphagus vanfongensis",negative
17701,"M-2Alg 14","DSM 15360, CCUG 47094, KMM 3956, LMG 21969, CIP 108557, JCM 13505",1,"Algoriphagus winogradskyi",negative
17706,MSS-160,"DSM 23446, CIP 108748, JCM 12598, KCTC 12309",1,"Algoriphagus yeomjeoni",negative
24720,12C11,"DSM 25035, CGMCC 1.11027, MCCC 1F01099",1,"Algoriphagus zhangzhouensis",negative
498,AAM1,"DSM 23064, BCRC 17888, JCM 15522, JCM 31907",1,"Aliagarivorans marinus",negative
499,AAT1,"DSM 22990, BCRC 17889, JCM 15537",1,"Aliagarivorans taiwanensis",negative
166399,CA12,"DSM 100707, LMG 29076",1,"Alienimonas californiensis",negative
166424,F3105,"MCCC 1H00223, KCTC 52891",1,"Aliidiomarina celeris",negative
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,"Aliidiomarina iranensis",negative
6238,CF12-14,"DSM 22154, CCTCC AB 208166, KACC 13974",1,"Aliidiomarina maris",negative
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,"Aliidiomarina sedimenti",negative
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",negative
133686,AIT1,"JCM 16052, BCRC 80035, NCCB 100321",1,"Aliidiomarina taiwanensis",negative
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,"Aliidongia dinghuensis",negative
140832,2W32,"KCTC 42497, CICC 23869",1,"Aliifodinibius halophilus",negative
24787,,"DSM 21986, ACCC 10715, KCTC 23442, YIM D15",1,"Aliifodinibius roseus",negative
140954,KHM44,"KACC 19060, NBRC 112531",1,"Aliifodinibius salicampi",negative
166301,WN023,"KCTC 52855, ACCC 19978",1,"Aliifodinibius salipaludis",negative
24788,,"DSM 21194, ACCC 10714, YIM J21",1,"Aliifodinibius sediminis",negative
133419,E3,"CGMCC 1.7001, JCM 15139",1,"Aliiglaciecola lipolytica",negative
133538,,"NRIC 0754, JCM 15896, KMM 3894",1,"Aliiglaciecola litoralis",negative
13769,"CV919-312, CVSP","DSM 16950, ATCC BAA 1102",1,"Aliiroseovarius crassostreae",negative
24498,MA1-10,"DSM 27840, CCUG 60745, KCTC 23462",1,"Aliiroseovarius halocynthiae",negative
130625,M-M10,"DSM 29439, CCUG 62413, KCTC 23959",1,"Aliiroseovarius sediminilitoris",negative
166218,MYP11,"KCTC 62899 NBRC 113544",1,"Aliishimia ponticola",negative
17254,,"DSM 23419, CECT 7228, LMG 23869, CMJ 11.1",1,"Aliivibrio finisterrensis",negative
441,B11,"DSM 19476, KCTC 22051",1,"Alishewanella aestuarii",negative
443,BL06,"DSM 24290, JCM 15597, KCTC 22400, CGMCC 1.10668",0,"Alishewanella agri",negative
440,,"DSM 16032, ATCC BAA 284, CCUG 30811, CIP 106648",1,"Alishewanella fetalis",negative
442,MS1,"DSM 24035, JCM 15561, KCTC 22429, CGMCC 1.10666",1,"Alishewanella jeotgali",negative
22907,RCRI4,"DSM 27060, JCM 17275, KCTC 23723, LMG 26473",1,"Alishewanella tabrizica",negative
14030,,"DSM 17242, CCUG 46020, CIP 107999, KCTC 15236, AHN 2437, JCM 16770, VTT E-093113T",1,"Alistipes finegoldii",negative
14033,,"DSM 22520, JCM 16068, YIT 12060",1,"Alistipes indistinctus",negative
14031,,"KCTC 15237, DSM 19147, ATCC BAA 1178, CCUG 48946, WAL 8169, JCM 16771",1,"Alistipes onderdonkii subsp. onderdonkii",negative
14032,,"DSM 19121, ATCC BAA 1179, CCUG 48947, KCTC 15238, WAL 8301, JCM 16773",1,"Alistipes shahii",negative
134250,A11,"JCM 14232, NCIMB 14253",1,"Alkalibacterium indicireducens",negative
5453,CP11,"CCUG 57164, DSM 22112, ATCC BAA 1772, KCTC 15124",1,"Alkalibaculum bacchi",negative
17805,Z-7010,"DSM 15055, VKM B-2311",1,"Alkaliflexus imshenetskii",negative
