"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",positive
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",positive
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",positive
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",positive
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",positive
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",positive
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",positive
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,"Acidipropionibacterium olivae",positive
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",positive
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,"Acrocarpospora phusangensis",positive
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931, JCM 17235, TBRC 563",1,"Actinoallomurus acaciae",positive
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,"Actinoallomurus acanthiterrae",positive
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,"Actinoallomurus amamiensis",positive
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,"Actinoallomurus caesius",positive
17009,TT99-66,"DSM 45446, KCTC 19536, NBRC 103680",1,"Actinoallomurus fulvus",positive
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,"Actinoallomurus iriomotensis",positive
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,"Actinoallomurus luridus",positive
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,"Actinoallomurus oryzae",positive
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,"Actinoallomurus purpureus",positive
17006,"FYU A 116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118",1,"Actinoallomurus spadix",positive
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,"Actinoallomurus yoronensis",positive
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,"Actinoalloteichus spitiensis",positive
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,"Actinobaculum massiliense",positive
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",positive
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",positive
