,Accession,Host,Isolation Host
0,GU339467,Mycobacterium,Unspecified
1,MF417929,Unspecified,Unspecified
2,MH616963,Unspecified,Unspecified
3,MH552500,Unspecified,Unspecified
4,BK010471,Unspecified,bacterium
5,AC171169,Escherichia,Unspecified
6,LR797314,Unspecified,Unspecified
7,MW175890,Dompiswa,Unspecified
8,KT997847,Unspecified,Unspecified
9,AP013549,Unspecified,Unspecified
10,AP013548,Unspecified,Unspecified
11,AP013547,Unspecified,Unspecified
12,AP013546,Unspecified,Unspecified
13,AP013545,Unspecified,Unspecified
14,AP013544,Unspecified,Unspecified
15,AP013543,Unspecified,Unspecified
16,AP013542,Unspecified,Unspecified
17,AP013541,Unspecified,Unspecified
18,AP013540,Unspecified,Unspecified
19,AP013539,Unspecified,Unspecified
20,AP013538,Unspecified,Unspecified
21,LR756511,Unspecified,Unspecified
22,LR756508,Unspecified,Unspecified
23,LR756504,Unspecified,Unspecified
24,LR756503,Unspecified,Unspecified
25,LR756502,Unspecified,Unspecified
26,LR756501,Unspecified,Unspecified
27,LR756500,Unspecified,Unspecified
28,LR745208,Unspecified,Unspecified
29,LR745206,Unspecified,Unspecified
30,AY576273,Alphaproteobacteria,Unspecified
31,KX397280,Unspecified,alphaproteobacteria
32,AY319521,Unspecified,Salmonella enterica subsp. enterica serovar Typhimurium
33,GU943031,Unspecified,Unspecified
34,JX625144,Enterobacteria,Unspecified
35,HQ633062,Synechococcus,Unspecified
36,GU943068,Unspecified,Unspecified
37,GU943054,Unspecified,Unspecified
38,AF059242,Escherichia,Unspecified
39,DQ836063,Pseudomonas,Unspecified
40,OQ871557,Salmonella,Unspecified
41,OQ871556,Salmonella,Unspecified
42,OQ871555,Salmonella,Unspecified
43,OQ995441,Streptomyces,Unspecified
44,OQ995440,Mycobacterium,Unspecified
45,OQ995439,Streptomyces,Unspecified
46,OQ995438,Microbacterium,Unspecified
47,OQ995437,Streptomyces,Unspecified
48,OQ995436,Mycobacterium,Unspecified
49,OQ995435,Microbacterium,Unspecified
50,OQ995434,Microbacterium,Unspecified
51,OQ995433,Microbacterium,Unspecified
52,OQ995432,Microbacterium,Unspecified
53,OQ995431,Streptomyces,Unspecified
54,OQ995430,Streptomyces,Unspecified
55,OQ995429,Streptomyces,Unspecified
56,OQ995428,Mycobacterium,Unspecified
57,OQ995427,Microbacterium,Unspecified
58,OQ995426,Gordonia,Unspecified
59,OQ995425,Arthrobacter,Unspecified
60,OP297541,Mycobacterium,Unspecified
61,OP985602,Microbacterium,Unspecified
62,OP985601,Arthrobacter,Unspecified
63,OP985600,Arthrobacter,Unspecified
64,OP820471,Mycobacterium,Unspecified
65,OP820468,Mycobacterium,Unspecified
66,OP820467,Mycobacterium,Unspecified
67,OP820463,Mycobacterium,Unspecified
68,OP820461,Mycobacterium,Unspecified
69,OP910133,Mycobacterium,Unspecified
70,OP910132,Gordonia,Unspecified
71,OP910130,Mycobacterium,Unspecified
72,OP751154,Streptomyces,Unspecified
73,OP751148,Streptomyces,Unspecified
74,OP867027,Mycobacterium,Unspecified
75,OP867026,Gordonia,Unspecified
76,OP867025,Mycobacterium,Unspecified
