species,Gram stain,Genus
Vallitalea guaymasensis,positive,Vallitalea
Acaricomes phytoseiuli,positive,Acaricomes
Acetanaerobacterium elongatum,positive,Acetanaerobacterium
Acetilactobacillus jinshanensis,positive,Acetilactobacillus
Acetivibrio mesophilus,positive,Acetivibrio
Acetivibrio saccincola,positive,Acetivibrio
Acidimicrobium ferrooxidans,positive,Acidimicrobium
Acidipropionibacterium olivae,positive,Acidipropionibacterium
Acidipropionibacterium virtanenii,positive,Acidipropionibacterium
Acrocarpospora phusangensis,positive,Acrocarpospora
Actinoallomurus acaciae,positive,Actinoallomurus
Actinoallomurus acanthiterrae,positive,Actinoallomurus
Actinoallomurus amamiensis,positive,Actinoallomurus
Actinoallomurus caesius,positive,Actinoallomurus
Actinoallomurus fulvus,positive,Actinoallomurus
Actinoallomurus iriomotensis,positive,Actinoallomurus
Actinoallomurus luridus,positive,Actinoallomurus
Actinoallomurus oryzae,positive,Actinoallomurus
Actinoallomurus purpureus,positive,Actinoallomurus
Actinoallomurus spadix,positive,Actinoallomurus
Actinoallomurus yoronensis,positive,Actinoallomurus
Actinoalloteichus spitiensis,positive,Actinoalloteichus
Actinobaculum massiliense,positive,Actinobaculum
Actinobaculum suis,positive,Actinobaculum
Actinocatenispora rupis,positive,Actinocatenispora
Actinocatenispora thailandica,positive,Actinocatenispora
Actinocorallia cavernae,positive,Actinocorallia
Actinocorallia lasiicapitis,positive,Actinocorallia
Actinocorallia populi,positive,Actinocorallia
Actinocrinis puniceicyclus,positive,Actinocrinis
Actinocrispum wychmicini,positive,Actinocrispum
Actinokineospora acnipugnans,positive,Actinokineospora
Actinokineospora alba,positive,Actinokineospora
Actinokineospora baliensis,positive,Actinokineospora
Actinokineospora bangkokensis,positive,Actinokineospora
Actinokineospora cianjurensis,positive,Actinokineospora
Actinokineospora cibodasensis,positive,Actinokineospora
Actinokineospora diospyrosa,positive,Actinokineospora
Actinokineospora globicatena,positive,Actinokineospora
Actinokineospora inagensis,positive,Actinokineospora
Actinokineospora soli,positive,Actinokineospora
Actinokineospora terrae,positive,Actinokineospora
Actinomadura alba,positive,Actinomadura
Actinomadura bangladeshensis,positive,Actinomadura
Actinomadura barringtoniae,positive,Actinomadura
Actinomadura chokoriensis,positive,Actinomadura
Actinomadura craniellae,positive,Actinomadura
Actinomadura deserti,positive,Actinomadura
Actinomadura flavalba,positive,Actinomadura
Actinomadura geliboluensis,positive,Actinomadura
Actinomadura keratinilytica,positive,Actinomadura
Actinomadura kijaniata,positive,Actinomadura
