Isolation Host (beware inconsistent and nonsense values)
Xanthomonas vesicatoria
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Prevotella sp.
Vibrio cyclitrophicus
Vibrio lentus
Vibrio lentus
Vibrio tasmaniensis
Vibrio cyclitrophicus
Flavobacterium sp. B330
Escherichia coli O157:H7
Caulobacter crescentus
Acinetobacter
Escherichia coli
Escherichia coli
Escherichia coli
Vibrio parahaemolyticus
Salmonella enterica subsp. enterica serovar Typhimurium 4/74
Salmonella enterica subsp. enterica serovar Typhimurium 4/74
Salmonella enterica subsp. enterica serovar Typhimurium 4/74
Salmonella enterica subsp. enterica serovar Typhimurium 4/74
Acinetobacter pittii
Acinetobacter pittii
Enterobacter cloacae
Escherichia coli K-12 MG1655
Klebsiella pneumoniae B3768
Bacillus tequilensis
Escherichia coli
Pseudoalteromonas marina Mano4(T)
Mycolicobacterium smegmatis mc#155
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycolicibacterium smegmatis MC2 155
Mycolicibacterium smegmatis MC2 155
Streptomyces avermitilis
Streptomyces coelicolor A3(2)
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Cutibacterium acnes
Streptomyces sp.
Mycobacterium sp.
Mycolicibacterium smegmatis
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycolicibacterium smegmatis
Mycolicibacterium smegmatis
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycolicibacterium smegmatis
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Mycobacterium sp.
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Acinetobacter baumannii
Bacteroides uniformis MB20-41
Bacteroides uniformis MB18-80
Bacteroides uniformis MB20-85
Vibrio sp.
Staphylococcus aureus
Staphylococcus aureus
Staphylococcus aureus
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia coli
Vibrio sp.
Escherichia coli
Pseudomonas aeruginosa
Klebsiella pneumoniae
Escherichia coli
Escherichia coli
Vibrio cholerae
Citrobacter freundii
Escherichia coli
Escherichia coli
Escherichia coli
Shigella dysenteriae type 1
Citrobacter amalonaticus
Escherichia coli strain KKP 3691
"Salmonella enterica subsp. enterica serowar 6,8:1,v:- strain KKP 1008"
Serratia liquefaciens strain KKP 3654
"Salmonella enterica subsp. enterica serowar 6,8:1,v:- strain KKP 1008"
Escherichia coli strain KKP 3691
Serratia marcescens strain KKP 3687
Escherichia coli BW25113 strain K-12
Ralstonia pseudosolanacearum (NCPPB 4694)
Erwinia sp.
Lactococcus lactis PEN82
Lactococcus lactis PEN82
Lactococcus lactis PEN72
Lactococcus lactis PEN82
Lactococcus lactis PEN72
Lactococcus lactis PEN72
Lactococcus lactis
Lactococcus lactis
Lactococcus lactis
Lactococcus lactis
Streptomyces coelicolor
Streptomyces coelicolor
Escherichia coli Ef-238
Escherichia coli Ef-158
Achromobacter xylosoxidans
Escherichia coli
Escherichia coli
Escherichia coli
Halorubrum sp. BL25
Halorubrum sp. BL36
Parasynechococcus marenigrum WH 8102
Parasynechococcus marenigrum WH 8102
Parasynechococcus marenigrum WH 8102
Synechococcus sp.
Synechococcus sp. MW02
Parasynechococcus marenigrum WH 8102
Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028
Actinebacter nosocomialis
Actinebacter nosocomialis
Arthrobacter sp. 5B
Pseudomonas aeruginosa PAO1
Escherichia coli CP9
Pseudoaltermonas tunicata SMS2
Alishewanella sp. SMS8
Alishewanella sp. SMS8
Sphingomonas sp. LR55
Sphingomonas sp. LR55
Sphingomonas sp. LR55
Pseudomonas aeruginosa
Escherichia coli
Salmonella sp.
Salmonella sp.
Salmonella sp.
Mycobacterium sp.
Escherichia coli K514
Escherichia coli C600
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Escherichia coli K514
Klebsiella pneumoniae BU9
Klebsiella pneumoniae BM7
Cronobacter dublinensis NCTC 9844
Cronobacter sakazakii NTU701
Enterobacter cloacae KMB220
Enterobacter cloacae KMB536
Enterobacter cloacae KMB220
Pseudanabaena sp.
Pseudanabaena sp.
Pseudanabaena sp.
Pseudanabaena sp.
Pseudanabaena sp.
Klebsiella pneumoniae
Mammaliicoccus sciuri KCTC 43031
Vibrio alginolyticus ATCC 17749T
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Klebsiella pneumoniae
Pseudomonas aeruginosa
Geobacillus stearothermophilus ATCC 10149
Multidrug resistant Escherichia coli
Pseudomonas aeruginosa PAO1
Klebsiella variicola kv6
Klebsiella variicola kv23
Klebsiella variicola kv19
Klebsiella variicola kv8
Klebsiella variicola kv7
Klebsiella variicola kv4
Escherichia coli EAEC CVCC232
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Salmonella enterica
Acidovorax cattleyae GBBC 1148
Acidovorax valerianellae GBBC 3357
Acidovorax valerianellae GBBC 3043
Acidovorax valerianellae GBBC 3161
Escherichia coli
Paracidovorax oryzae
Escherichia sp.
Escherichia sp.
Mycolicobacterium smegmatis mc^2 155
Vibrio harveyi BVH1
Enterococcus faecalis
Pseudomonas aeruginosa PA14
Enterobacter sp.
Pectobacterium sp.
Enterococcus faecalis EF-JMSS09
Bacillus cereus
Pseudomonas sp.
Klebsiella pneumoniae
Yersinia enterocolitica
Erwinia sp.
Acinetobacter baumannii
Pseudomonas aeruginosa
Escherichia coli str. K-12 substr. MG1655
Klebsiella pneumoniae
Mycobacteroides abscessus
Achromobacter xylosoxidans
Pseudomonas aeruginosa CN573
Salmonella sp.
Nostoc sp.
Microcystis sp.
Escherichia coli
Escherichia coli
Campylobacter coli CAN 10
Mycolicobacterium smegmatis mc(2)155
Methanosarcina mazei Go1
Methanosarcina mazei Go1
Methanosarcina mazei Go1
Salmonella enterica subsp. enterica serovar Weltevreden SA161
Pseudomonas aeruginosa PAO1
Klebsiella oxytoca clinical isolate
Salmonella enterica subsp. enterica serovar Enteritidis
Bacteroides intestinalis DSM 108646
Bacteroides intestinalis DSM 108646
Bacteroides intestinalis DSM 108646
Aeromonas hydrophila MTCC 1739
Pseudomonas carnis; Pseudomonas lactis
Vibrio cyclitrophicus
