,Accession,Host,Isolation Host,staining
0,MN335248,Vibrio,Xanthomonas vesicatoria,negative
1,MK250029,Prevotella,Prevotella sp.,negative
2,MK250028,Prevotella,Prevotella sp.,negative
3,MK250027,Prevotella,Prevotella sp.,negative
4,MK250026,Prevotella,Prevotella sp.,negative
5,MK250025,Prevotella,Prevotella sp.,negative
6,MK250024,Prevotella,Prevotella sp.,negative
7,MK250023,Prevotella,Prevotella sp.,negative
8,MK250022,Prevotella,Prevotella sp.,negative
9,MK250021,Prevotella,Prevotella sp.,negative
10,MK250020,Prevotella,Prevotella sp.,negative
11,MK250019,Prevotella,Prevotella sp.,negative
12,MK250018,Prevotella,Prevotella sp.,negative
13,MK250017,Prevotella,Prevotella sp.,negative
14,MK250016,Prevotella,Prevotella sp.,negative
15,MK250015,Prevotella,Prevotella sp.,negative
16,MG592615,Vibrio,Vibrio cyclitrophicus,negative
17,MG592455,Vibrio,Vibrio lentus,negative
18,MG592427,Vibrio,Vibrio lentus,negative
19,MG592402,Vibrio,Vibrio tasmaniensis,negative
20,MG592394,Vibrio,Vibrio cyclitrophicus,negative
22,HM208303,Escherichia,Escherichia coli,negative
23,HM066936,Caulobacter,Caulobacter crescentus,negative
24,AF334111,Acinetobacter,Acinetobacter,negative
25,OR204652,Escherichia,Escherichia coli,negative
26,OR204651,Escherichia,Escherichia coli,negative
27,OR204650,Escherichia,Escherichia coli,negative
28,OR204649,Vibrio,Vibrio parahaemolyticus,negative
29,OR413347,Salmonella,Salmonella enterica,positive
30,OR413345,Salmonella,Salmonella enterica,positive
31,OR413344,Salmonella,Salmonella enterica,positive
32,OR413342,Salmonella,Salmonella enterica,positive
33,MN923124,Acinetobacter,Acinetobacter pittii,negative
34,OQ451773,Acinetobacter,Acinetobacter pittii,negative
35,ON212266,Enterobacter,Enterobacter cloacae,negative
36,MZ892903,Escherichia,Escherichia coli,negative
37,OR290970,Klebsiella,Klebsiella pneumoniae,negative
39,ON470617,Escherichia,Escherichia coli,negative
40,OQ745667,Pseudoalteromonas,Pseudoalteromonas marina,negative
41,AY129330,Mycobacterium,Mycolicobacterium smegmatis,positive
42,EU826469,Mycobacterium,Mycobacterium sp.,positive
43,AY129332,Mycobacterium,Mycobacterium sp.,positive
44,AY129336,Mycobacterium,Mycobacterium sp.,positive
45,KY385384,Mycobacterium,Mycolicibacterium smegmatis,positive
46,KY385381,Mycobacterium,Mycolicibacterium smegmatis,positive
49,JX262225,Propionibacterium,Cutibacterium acnes,positive
50,JX262224,Propionibacterium,Cutibacterium acnes,positive
51,JX262223,Propionibacterium,Cutibacterium acnes,positive
52,JX262222,Propionibacterium,Cutibacterium acnes,positive
53,JX262221,Propionibacterium,Cutibacterium acnes,positive
54,JX262220,Propionibacterium,Cutibacterium acnes,positive
55,JX262219,Propionibacterium,Cutibacterium acnes,positive
56,JX262218,Propionibacterium,Cutibacterium acnes,positive
57,JX262217,Propionibacterium,Cutibacterium acnes,positive
58,JX262216,Propionibacterium,Cutibacterium acnes,positive
59,JX262215,Propionibacterium,Cutibacterium acnes,positive
61,DQ398052,Mycobacterium,Mycobacterium sp.,positive
62,EU203571,Mycobacterium,Mycolicibacterium smegmatis,positive
63,EU826471,Mycobacterium,Mycobacterium sp.,positive
64,EU826470,Mycobacterium,Mycobacterium sp.,positive
65,EU826468,Mycobacterium,Mycobacterium sp.,positive
66,EU826467,Mycobacterium,Mycobacterium sp.,positive
67,EU826466,Mycobacterium,Mycobacterium sp.,positive
68,EU816591,Mycobacterium,Mycobacterium sp.,positive
69,EU816589,Mycobacterium,Mycobacterium sp.,positive
70,EU816588,Mycobacterium,Mycobacterium sp.,positive
71,EU770222,Mycobacterium,Mycolicibacterium smegmatis,positive
72,EU770221,Mycobacterium,Mycolicibacterium smegmatis,positive
