id,staining,genome_length,jumbophage,gc_%,trna_count,cds_number,coding_capacity,positive_strand_%,negative_strand_%,molecule_type_ss-DNA,molecule_type_DNA,molecule_type_RNA,molecule_type_ss-RNA,topology_circular,topology_linear
MN335248,negative,7045,0,60.298,0,14,104.22995031937545,85.71,14.29,True,False,False,False,False,True
MK250029,negative,540217,1,25.796,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250028,negative,550053,1,26.012,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250027,negative,551627,1,26.022,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250026,negative,550702,1,26.02,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250025,negative,546689,1,26.029,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250024,negative,543529,1,26.053,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250023,negative,550552,1,26.019,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250022,negative,546746,1,26.032,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250021,negative,549839,1,25.986,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250020,negative,547991,1,26.031,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250019,negative,541299,1,25.968,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250018,negative,541644,1,25.878,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250017,negative,541724,1,25.88,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250016,negative,541643,1,25.879,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MK250015,negative,541664,1,25.877,0,0,0.0,0.0,0.0,False,True,False,False,True,False
MG592615,negative,10611,0,46.555,0,22,94.76957873904439,72.73,27.27,False,True,False,False,False,True
MG592455,negative,10046,0,41.191,0,19,89.88652199880549,73.68,26.32,False,True,False,False,False,True
MG592427,negative,10272,0,41.793,0,21,91.29672897196261,71.43,28.57,False,True,False,False,False,True
MG592402,negative,10636,0,43.663,0,21,90.25949605114705,66.67,33.33,False,True,False,False,False,True
MG592394,negative,10579,0,43.331,0,21,89.64930522733717,66.67,33.33,False,True,False,False,False,True
HM208303,negative,57677,0,49.68,3,88,101.16510914229242,60.23,39.77,False,True,False,False,False,True
HM066936,negative,3762,0,50.532,0,4,102.87081339712918,100.0,0.0,False,False,True,False,False,True
AF334111,negative,4268,0,43.861,0,4,90.95595126522961,100.0,0.0,False,False,False,True,False,True
OR204652,negative,40444,0,48.65,0,53,89.31609138561963,3.77,96.23,False,True,False,False,False,True
OR204651,negative,39837,0,48.329,0,47,90.21763687024625,100.0,0.0,False,True,False,False,False,True
OR204650,negative,39650,0,49.788,0,49,89.61412358133668,100.0,0.0,False,True,False,False,False,True
OR204649,negative,76884,0,42.757,0,123,95.68440767910099,80.49,19.51,False,True,False,False,False,True
OR413347,positive,110344,0,39.504,15,154,86.69343145073589,32.47,67.53,False,True,False,False,False,True
OR413345,positive,108554,0,39.84,21,153,86.51730935755477,29.41,70.59,False,True,False,False,False,True
