,Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Molecule,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs
0,MN335248,negative,7045,False,60.298,ss-DNA,13,84.6153846153846,15.3846153846154,88.8289567068843,0
1,MK250029,negative,540217,True,25.796,DNA,830,47.1084337349398,52.8915662650602,68.3249508993608,30
2,MK250028,negative,550053,True,26.012,DNA,859,52.2700814901048,47.7299185098952,69.1884236609927,29
3,MK250027,negative,551627,True,26.022,DNA,860,53.0232558139535,46.9767441860465,69.318760684303,33
4,MK250026,negative,550702,True,26.02,DNA,859,53.2013969732247,46.7986030267753,69.3632854066264,33
5,MK250025,negative,546689,True,26.029,DNA,847,52.6564344746163,47.3435655253837,69.1182738266181,30
6,MK250024,negative,543529,True,26.053,DNA,844,52.7251184834123,47.2748815165877,69.2310805863165,31
7,MK250023,negative,550552,True,26.019,DNA,852,53.169014084507,46.830985915493,69.0677719815749,33
8,MK250022,negative,546746,True,26.032,DNA,846,52.6004728132388,47.3995271867612,69.2789704908678,30
9,MK250021,negative,549839,True,25.986,DNA,851,52.7614571092832,47.2385428907168,68.9872853689898,33
10,MK250020,negative,547991,True,26.031,DNA,855,52.1637426900585,47.8362573099415,69.2358086172948,29
11,MK250019,negative,541299,True,25.968,DNA,850,49.1764705882353,50.8235294117647,69.1213174234573,31
12,MK250018,negative,541644,True,25.878,DNA,852,49.8826291079812,50.1173708920188,69.0117494147447,32
13,MK250017,negative,541724,True,25.88,DNA,855,49.7076023391813,50.2923976608187,69.1826465137229,32
14,MK250016,negative,541643,True,25.879,DNA,855,49.8245614035088,50.1754385964912,69.1952079136996,32
15,MK250015,negative,541664,True,25.877,DNA,854,49.8829039812646,50.1170960187354,69.0618169197141,32
16,MG592615,negative,10611,False,46.555,DNA,22,72.7272727272727,27.2727272727273,94.7695787390444,0
17,MG592455,negative,10046,False,41.191,DNA,19,73.6842105263158,26.3157894736842,89.8865219988055,0
18,MG592427,negative,10272,False,41.793,DNA,21,71.4285714285714,28.5714285714286,91.2967289719626,0
19,MG592402,negative,10636,False,43.663,DNA,21,66.6666666666667,33.3333333333333,90.2594960511471,0
20,MG592394,negative,10579,False,43.331,DNA,21,66.6666666666667,33.3333333333333,89.2711976557331,0
21,HM208303,negative,57677,False,49.68,DNA,76,67.1052631578947,32.8947368421053,90.3150302546942,3
22,HM066936,negative,3762,False,50.532,RNA,3,100.0,0.0,93.6204146730462,0
