Accession,staining,Genome Length (bp),Jumbophage,molGC (%),Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),tRNAs,Molecule_DNA,Molecule_RNA,Molecule_ss-DNA,Molecule_ss-RNA
MN335248,negative,7045,False,60.298,13,84.6153846153846,15.3846153846154,88.8289567068843,0,False,False,True,False
MK250029,negative,540217,True,25.796,830,47.1084337349398,52.8915662650602,68.3249508993608,30,True,False,False,False
MK250028,negative,550053,True,26.012,859,52.2700814901048,47.7299185098952,69.1884236609927,29,True,False,False,False
MK250027,negative,551627,True,26.022,860,53.0232558139535,46.9767441860465,69.318760684303,33,True,False,False,False
MK250026,negative,550702,True,26.02,859,53.2013969732247,46.7986030267753,69.3632854066264,33,True,False,False,False
MK250025,negative,546689,True,26.029,847,52.6564344746163,47.3435655253837,69.1182738266181,30,True,False,False,False
MK250024,negative,543529,True,26.053,844,52.7251184834123,47.2748815165877,69.2310805863165,31,True,False,False,False
MK250023,negative,550552,True,26.019,852,53.169014084507,46.830985915493,69.0677719815749,33,True,False,False,False
MK250022,negative,546746,True,26.032,846,52.6004728132388,47.3995271867612,69.2789704908678,30,True,False,False,False
MK250021,negative,549839,True,25.986,851,52.7614571092832,47.2385428907168,68.9872853689898,33,True,False,False,False
MK250020,negative,547991,True,26.031,855,52.1637426900585,47.8362573099415,69.2358086172948,29,True,False,False,False
MK250019,negative,541299,True,25.968,850,49.1764705882353,50.8235294117647,69.1213174234573,31,True,False,False,False
MK250018,negative,541644,True,25.878,852,49.8826291079812,50.1173708920188,69.0117494147447,32,True,False,False,False
MK250017,negative,541724,True,25.88,855,49.7076023391813,50.2923976608187,69.1826465137229,32,True,False,False,False
MK250016,negative,541643,True,25.879,855,49.8245614035088,50.1754385964912,69.1952079136996,32,True,False,False,False
MK250015,negative,541664,True,25.877,854,49.8829039812646,50.1170960187354,69.0618169197141,32,True,False,False,False
MG592615,negative,10611,False,46.555,22,72.7272727272727,27.2727272727273,94.7695787390444,0,True,False,False,False
MG592455,negative,10046,False,41.191,19,73.6842105263158,26.3157894736842,89.8865219988055,0,True,False,False,False
MG592427,negative,10272,False,41.793,21,71.4285714285714,28.5714285714286,91.2967289719626,0,True,False,False,False
MG592402,negative,10636,False,43.663,21,66.6666666666667,33.3333333333333,90.2594960511471,0,True,False,False,False
MG592394,negative,10579,False,43.331,21,66.6666666666667,33.3333333333333,89.2711976557331,0,True,False,False,False
HM208303,negative,57677,False,49.68,76,67.1052631578947,32.8947368421053,90.3150302546942,3,True,False,False,False
HM066936,negative,3762,False,50.532,3,100.0,0.0,93.6204146730462,0,False,True,False,False
AF334111,negative,4268,False,43.861,3,100.0,0.0,92.7132146204311,0,False,False,False,True
OR204652,negative,40444,False,48.65,51,1.96078431372549,98.0392156862745,89.9169221639798,0,True,False,False,False
OR204651,negative,39837,False,48.329,48,100.0,0.0,91.3321786279087,0,True,False,False,False
OR204650,negative,39650,False,49.788,52,100.0,0.0,91.4779319041614,1,True,False,False,False
OR204649,negative,76884,False,42.757,121,80.9917355371901,19.0082644628099,95.3059154050258,0,True,False,False,False
OR413347,positive,110344,False,39.504,157,32.484076433121,67.515923566879,89.0342927571957,15,True,False,False,False
OR413345,positive,108554,False,39.84,154,29.2207792207792,70.7792207792208,87.5978775540284,21,True,False,False,False
OR413344,positive,115218,False,40.127,162,30.8641975308642,69.1358024691358,86.6739571941884,27,True,False,False,False
OR413342,positive,109346,False,39.552,153,31.3725490196078,68.6274509803922,88.5775428456459,16,True,False,False,False
MN923124,negative,49692,False,48.996,82,60.9756097560976,39.0243902439024,94.1922241004588,0,True,False,False,False
OQ451773,negative,41886,False,39.285,49,100.0,0.0,93.0812204555221,0,True,False,False,False
ON212266,negative,153282,False,49.158,189,65.6084656084656,34.3915343915344,92.323299539411,4,True,False,False,False
MZ892903,negative,170727,False,35.43,274,15.6934306569343,84.3065693430657,93.4784773351608,9,True,False,False,False
OR290970,negative,59343,False,56.106,76,42.1052631578947,57.8947368421053,95.1771902330519,0,True,False,False,False
ON470617,negative,99607,False,47.338,132,50.7575757575758,49.2424242424242,84.6777836899013,3,True,False,False,False
OQ745667,negative,34257,False,40.622,56,39.2857142857143,60.7142857142857,89.3335668622471,0,True,False,False,False
AY129330,positive,59472,False,61.31,110,90.0,10.0,95.4600484261501,0,True,False,False,False
EU826469,positive,154017,False,64.829,223,98.2062780269058,1.79372197309417,92.6443184843232,31,True,False,False,False
AY129332,positive,50913,False,64.184,83,37.3493975903614,62.6506024096386,90.9158761023707,3,True,False,False,False
AY129336,positive,56275,False,60.901,110,89.0909090909091,10.9090909090909,95.0777432252332,0,True,False,False,False
KY385384,positive,56335,False,61.26,98,95.9183673469388,4.08163265306122,94.0072778911866,0,True,False,False,False
KY385381,positive,78536,False,56.889,130,60.7692307692308,39.2307692307692,87.6617092798207,23,True,False,False,False
JX262225,positive,29516,False,53.998,42,50.0,50.0,88.1420246645887,0,True,False,False,False
JX262224,positive,29516,False,54.005,42,50.0,50.0,87.8269413199621,0,True,False,False,False
JX262223,positive,29348,False,54.365,41,51.219512195122,48.780487804878,86.4692653673163,0,True,False,False,False
JX262222,positive,29612,False,54.069,43,51.1627906976744,48.8372093023256,88.1095501823585,0,True,False,False,False
JX262221,positive,29505,False,53.832,41,51.219512195122,48.780487804878,86.1209964412811,0,True,False,False,False
JX262220,positive,29506,False,53.762,40,52.5,47.5,86.2502541855894,0,True,False,False,False
JX262219,positive,29202,False,54.174,40,52.5,47.5,85.7098828847339,0,True,False,False,False
JX262218,positive,29371,False,53.982,42,50.0,50.0,87.9541043886827,0,True,False,False,False
JX262217,positive,29574,False,54.135,41,53.6585365853659,46.3414634146341,86.7214445120714,0,True,False,False,False
JX262216,positive,29729,False,54.082,43,48.8372093023256,51.1627906976744,88.4388980456793,0,True,False,False,False
JX262215,positive,29214,False,54.121,41,51.219512195122,48.780487804878,88.1289792565209,0,True,False,False,False
DQ398052,positive,78296,False,56.852,127,59.8425196850394,40.1574803149606,87.0746909165219,23,True,False,False,False
EU203571,positive,53746,False,67.447,81,81.4814814814815,18.5185185185185,93.7744204219849,0,True,False,False,False
EU826471,positive,155372,False,64.72,222,98.1981981981982,1.8018018018018,91.1940375357207,34,True,False,False,False
EU826470,positive,49487,False,63.843,81,48.1481481481481,51.8518518518518,90.157010932164,0,True,False,False,False
EU826468,positive,154906,False,64.777,223,98.2062780269058,1.79372197309417,92.5948639820278,31,True,False,False,False
EU826467,positive,153894,False,64.743,215,98.1395348837209,1.86046511627907,90.4148309875629,34,True,False,False,False
EU826466,positive,164602,False,65.436,238,97.8991596638655,2.10084033613445,93.6246218150448,35,True,False,False,False
EU816591,positive,75811,False,62.917,142,74.6478873239437,25.3521126760563,91.6621598448774,2,True,False,False,False
EU816589,positive,68090,False,67.566,95,54.7368421052632,45.2631578947368,93.7802907915994,0,True,False,False,False
EU816588,positive,76312,False,62.841,137,77.3722627737226,22.6277372262774,91.1311458224132,2,True,False,False,False
EU770222,positive,70110,False,56.286,92,98.9130434782609,1.08695652173913,90.0641848523748,0,True,False,False,False
EU770221,positive,69904,False,68.342,94,50.0,50.0,94.5954451819638,0,True,False,False,False
EU744252,positive,51621,False,63.387,89,42.6966292134831,57.3033707865169,91.4860231301215,0,True,False,False,False
EU744251,positive,50968,False,63.713,90,40.0,60.0,91.4985873489248,0,True,False,False,False
EU744250,positive,52892,False,63.263,85,36.4705882352941,63.5294117647059,89.7810632987975,1,True,False,False,False
EU744249,positive,51478,False,63.425,90,41.1111111111111,58.8888888888889,90.900967403551,0,True,False,False,False
EU744248,positive,53572,False,63.572,87,44.8275862068966,55.1724137931034,91.5366236093482,0,True,False,False,False
EF536069,positive,58692,False,61.739,105,94.2857142857143,5.71428571428571,94.1729707626252,0,True,False,False,False
DQ398053,positive,153766,False,64.735,218,98.1651376146789,1.8348623853211,90.8907040568136,34,True,False,False,False
DQ398050,positive,56692,False,61.418,99,95.959595959596,4.04040404040404,93.9285966273901,0,True,False,False,False
DQ398048,positive,67188,False,68.963,89,55.0561797752809,44.9438202247191,94.7445972495088,0,True,False,False,False
DQ398043,positive,52047,False,62.882,93,34.4086021505376,65.5913978494624,91.9764827943974,3,True,False,False,False
DQ398049,positive,69059,False,67.335,97,57.7319587628866,42.2680412371134,92.92923442274,0,True,False,False,False
DQ398046,positive,68427,False,66.51,98,47.9591836734694,52.0408163265306,92.9238458503222,0,True,False,False,False
DQ398045,positive,56852,False,61.53,95,94.7368421052632,5.26315789473684,93.8911559839584,0,True,False,False,False
DQ398044,positive,70654,False,69.106,96,52.0833333333333,47.9166666666667,95.1411101989979,0,True,False,False,False
DQ398041,positive,74483,False,62.937,134,78.3582089552239,21.6417910447761,91.2946578413866,2,True,False,False,False
AY500153,positive,52250,False,63.246,85,43.5294117647059,56.4705882352941,91.3435406698565,0,True,False,False,False
AY500152,positive,51277,False,63.699,87,41.3793103448276,58.6206896551724,92.2694385396962,0,True,False,False,False
AF547430,positive,68999,False,66.502,98,47.9591836734694,52.0408163265306,92.9796084001217,0,True,False,False,False
AY129338,positive,110865,False,61.375,225,67.5555555555556,32.4444444444444,92.0561042709602,1,True,False,False,False
AY129337,positive,156102,False,64.77,229,98.2532751091703,1.74672489082969,91.3012004971109,33,True,False,False,False
AY129335,positive,69777,False,65.384,118,47.4576271186441,52.5423728813559,90.2618341287244,0,True,False,False,False
AY129334,positive,67480,False,68.957,89,53.9325842696629,46.0674157303371,94.6458209839953,0,True,False,False,False
AY129331,positive,75931,False,63.115,134,76.865671641791,23.134328358209,91.0392329878442,2,True,False,False,False
OR045358,negative,46538,False,38.051,87,16.0919540229885,83.9080459770115,90.3068460183076,0,True,False,False,False
OR045357,negative,46523,False,38.052,81,82.7160493827161,17.2839506172839,90.026438535778,0,True,False,False,False
OR045356,negative,45076,False,38.045,74,10.8108108108108,89.1891891891892,60.1717100008874,0,True,False,False,False
OR045355,negative,46529,False,38.049,81,81.4814814814815,18.5185185185185,88.8800533000924,0,True,False,False,False
OR296439,negative,74437,False,37.211,117,62.3931623931624,37.6068376068376,91.1522495533135,0,True,False,False,False
OR296438,negative,33770,False,45.845,46,0.0,100.0,90.9594314480308,0,True,False,False,False
OR296437,negative,44391,False,44.635,56,1.78571428571429,98.2142857142857,91.2617422450497,0,True,False,False,False
OR243293,negative,58476,False,37.036,85,63.5294117647059,36.4705882352941,90.7192694438744,0,True,False,False,False
OR062950,positive,140580,False,30.356,214,26.6355140186916,73.3644859813084,89.8691136719306,4,True,False,False,False
OR062949,positive,143709,False,30.409,223,27.3542600896861,72.6457399103139,90.1043080113284,4,True,False,False,False
OR062948,positive,17209,False,29.281,19,42.1052631578947,57.8947368421053,94.3285490150503,0,True,False,False,False
OR062947,negative,170844,False,37.547,266,84.2105263157895,15.7894736842105,93.7767788157618,2,True,False,False,False
OR062946,negative,167023,False,35.567,262,16.030534351145,83.969465648855,94.7588056734701,10,True,False,False,False
OR062945,negative,169543,False,37.705,272,84.5588235294118,15.4411764705882,94.4409382870422,2,True,False,False,False
OR062944,negative,166904,False,35.391,267,84.6441947565543,15.3558052434457,94.8659109428174,11,True,False,False,False
OR062943,negative,138401,False,43.586,212,56.1320754716981,43.8679245283019,89.8057094963187,4,True,False,False,False
OR437326,negative,148445,False,39.089,269,49.4423791821561,50.5576208178439,92.3048940685102,10,True,False,False,False
OM782678,negative,246348,True,42.601,385,83.8961038961039,16.1038961038961,93.2623768002988,27,True,False,False,False
ON470615,negative,95305,False,47.575,129,40.3100775193798,59.6899224806201,78.6097266670164,3,True,False,False,False
MT360680,negative,43925,False,54.035,56,96.4285714285714,3.57142857142857,94.0193511667615,0,True,False,False,False
MN518893,negative,39255,False,49.899,45,100.0,0.0,86.7558272831486,0,True,False,False,False
MN518894,negative,39197,False,50.784,43,97.6744186046512,2.32558139534884,86.3254840931704,0,True,False,False,False
MT360682,negative,49833,False,45.313,64,85.9375,14.0625,78.351694660165,0,True,False,False,False
MN715150,negative,39277,False,50.378,45,97.7777777777778,2.22222222222222,86.3482445196935,0,True,False,False,False
MN218775,negative,39253,False,49.884,39,100.0,0.0,86.6532494331643,0,True,False,False,False
MN164484,negative,46054,False,43.558,72,81.9444444444444,18.0555555555556,91.1972901376645,1,True,False,False,False
OQ357823,negative,43449,False,43.943,69,78.2608695652174,21.7391304347826,90.867453796405,1,True,False,False,False
MT360681,negative,53145,False,44.512,74,82.4324324324324,17.5675675675676,83.0426192492238,0,True,False,False,False
MN545971,negative,45806,False,44.509,62,85.4838709677419,14.5161290322581,82.1093306553727,0,True,False,False,False
OR067838,negative,149856,False,39.059,286,49.6503496503497,50.3496503496504,91.4818225496477,10,True,False,False,False
OR067837,positive,115522,False,39.9,179,26.2569832402235,73.7430167597765,83.040459825834,28,True,False,False,False
OR067836,negative,40461,False,52.873,47,100.0,0.0,92.4594053533032,0,True,False,False,False
OR067835,positive,43099,False,51.962,66,100.0,0.0,95.8908559363326,0,True,False,False,False
OR067834,negative,71272,False,43.272,85,23.5294117647059,76.4705882352941,92.5202042877989,1,True,False,False,False
OR067833,negative,67890,False,49.791,133,56.390977443609,43.609022556391,76.3985859478568,0,True,False,False,False
OR083247,negative,114544,False,39.228,171,32.7485380116959,67.2514619883041,87.0460259812823,20,True,False,False,False
OR367448,negative,42032,False,58.168,52,100.0,0.0,89.9457556147697,0,True,False,False,False
OR125561,negative,85754,False,43.381,120,76.6666666666667,23.3333333333333,90.7549502064044,26,True,False,False,False
OQ985170,positive,21643,False,35.582,36,47.2222222222222,52.7777777777778,91.1518735849928,0,True,False,False,False
OQ985169,positive,21643,False,35.582,38,44.7368421052632,55.2631578947368,92.2746384512314,0,True,False,False,False
OQ985168,positive,22005,False,35.446,38,44.7368421052632,55.2631578947368,92.719836400818,0,True,False,False,False
OQ985167,positive,21570,False,35.508,38,44.7368421052632,55.2631578947368,92.2670375521558,0,True,False,False,False
OQ985166,positive,22045,False,35.836,38,44.7368421052632,55.2631578947368,92.4563393059651,0,True,False,False,False
OQ985165,positive,22138,False,35.834,38,44.7368421052632,55.2631578947368,92.5015809919595,0,True,False,False,False
OQ985164,positive,21571,False,35.78,38,44.7368421052632,55.2631578947368,92.2627601872885,0,True,False,False,False
OQ985163,positive,22139,False,35.833,38,44.7368421052632,55.2631578947368,92.8226207145761,0,True,False,False,False
OQ985162,positive,21578,False,35.634,38,44.7368421052632,55.2631578947368,91.6210955602929,0,True,False,False,False
OQ985161,positive,21644,False,35.585,38,44.7368421052632,55.2631578947368,92.6030308630567,0,True,False,False,False
OQ938542,negative,72781,False,42.735,87,77.0114942528736,22.9885057471264,92.9129855319383,1,True,False,False,False
OQ938541,negative,75413,False,42.148,120,20.0,80.0,89.009852412714,0,True,False,False,False
OQ938574,negative,46410,False,55.667,58,50.0,50.0,90.6571859513036,1,True,False,False,False
OQ870568,negative,40562,False,49.569,49,0.0,100.0,83.8198313692619,0,True,False,False,False
OQ870567,negative,40594,False,49.761,52,0.0,100.0,84.8253436468444,0,True,False,False,False
OQ870566,negative,78665,False,41.934,122,81.1475409836066,18.8524590163934,87.8103349647238,1,True,False,False,False
OQ850971,negative,13056,False,46.921,27,29.6296296296296,70.3703703703704,88.1433823529412,0,True,False,False,False
OQ850970,negative,35020,False,51.042,60,91.6666666666667,8.33333333333333,90.4026270702456,0,True,False,False,False
OQ504984,negative,176354,False,41.661,230,3.91304347826087,96.0869565217391,93.7132131961849,7,True,False,False,False
OQ504983,negative,175541,False,41.455,232,96.551724137931,3.44827586206897,94.8171652206607,7,True,False,False,False
OQ504982,negative,177122,False,41.872,235,4.25531914893617,95.7446808510638,95.0068314495094,7,True,False,False,False
OQ504981,negative,172946,False,40.943,217,97.6958525345622,2.30414746543779,95.3233957420235,6,True,False,False,False
OQ504980,negative,178866,False,42.526,212,97.1698113207547,2.83018867924528,95.6654702402916,6,True,False,False,False
OQ504979,negative,172888,False,40.674,214,98.1308411214953,1.86915887850467,95.4016473092407,7,True,False,False,False
OQ927978,positive,162022,False,36.996,262,18.3206106870229,81.6793893129771,94.5618496253595,4,True,False,False,False
ON531988,negative,49691,False,39.331,74,75.6756756756757,24.3243243243243,90.9883077418446,0,True,False,False,False
ON531987,negative,41815,False,39.106,63,100.0,0.0,81.1216070787995,0,True,False,False,False
ON528933,positive,43398,False,67.547,64,1.5625,98.4375,89.4580395409927,0,True,False,False,False
KY608967,negative,168188,False,35.373,266,84.2105263157895,15.7894736842105,94.3503698242443,11,True,False,False,False
OQ508958,negative,65166,False,39.711,81,37.037037037037,62.962962962963,92.0633459165823,1,True,False,False,False
OQ508957,negative,141644,False,36.71,192,57.8125,42.1875,93.0657140436588,11,True,False,False,False
OQ508956,negative,141431,False,36.669,197,57.8680203045685,42.1319796954315,93.9999010118008,11,True,False,False,False
OR228483,negative,39037,False,49.922,50,0.0,100.0,91.5592899044496,0,True,False,False,False
OR122689,positive,159273,False,36.884,254,18.503937007874,81.496062992126,94.1666195777062,3,True,False,False,False
OR122688,positive,158291,False,44.873,198,66.1616161616162,33.8383838383838,91.7045188924197,6,True,False,False,False
OR122687,positive,114722,False,40.265,161,68.944099378882,31.055900621118,87.7869981346211,28,True,False,False,False
OR195094,positive,47655,False,67.231,78,97.4358974358974,2.56410256410256,95.1148882593642,0,True,False,False,False
MN158218,negative,53042,False,45.788,73,45.2054794520548,54.7945205479452,91.680177972173,0,True,False,False,False
MN158217,negative,51031,False,43.646,77,74.025974025974,25.974025974026,89.3456918343752,0,True,False,False,False
MN158216,negative,52716,False,44.499,84,71.4285714285714,28.5714285714286,90.5133166401093,0,True,False,False,False
MN158215,negative,51448,False,43.442,78,25.6410256410256,74.3589743589744,88.903358731146,0,True,False,False,False
MN158214,negative,50853,False,45.734,81,27.1604938271605,72.8395061728395,90.6023243466462,0,True,False,False,False
MN158213,negative,44021,False,54.406,56,55.3571428571429,44.6428571428571,91.57220417528,0,True,False,False,False
MN158212,negative,44592,False,44.358,67,19.4029850746269,80.5970149253731,85.8113562970936,1,True,False,False,False
MN158211,negative,51031,False,43.648,77,74.025974025974,25.974025974026,89.3456918343752,0,True,False,False,False
MN158210,negative,52716,False,44.497,84,71.4285714285714,28.5714285714286,90.5133166401093,0,True,False,False,False
